epoch,step,loss,learning_rate,validation
0,1,10.940892219543457,5.9999999999999995e-05,0
0,2,9.695354461669922,5.9999999999999995e-05,0
0,3,9.664453506469727,5.9999999999999995e-05,0
0,4,9.374147415161133,5.9999999999999995e-05,0
0,5,9.202780723571777,5.9999999999999995e-05,0
0,6,9.063860893249512,5.9999999999999995e-05,0
0,7,8.925061225891113,5.9999999999999995e-05,0
0,8,8.792866706848145,5.9999999999999995e-05,0
0,8,8.704328536987305,5.9999999999999995e-05,1
0,9,8.717291831970215,5.9999999999999995e-05,0
0,10,8.632153511047363,5.9999999999999995e-05,0
0,11,8.576700210571289,5.9999999999999995e-05,0
0,12,8.514100074768066,5.9999999999999995e-05,0
0,13,8.786848068237305,5.9999999999999995e-05,0
0,14,8.653610229492188,5.9999999999999995e-05,0
0,15,8.387203216552734,5.9999999999999995e-05,0
0,16,8.313081741333008,5.9999999999999995e-05,0
0,16,8.226222038269043,5.9999999999999995e-05,1
0,17,8.219809532165527,5.9999999999999995e-05,0
0,18,8.151440620422363,5.9999999999999995e-05,0
0,19,8.049933433532715,5.9999999999999995e-05,0
0,20,7.975257873535156,5.9999999999999995e-05,0
0,21,7.912350654602051,5.9999999999999995e-05,0
0,22,7.846566677093506,5.9999999999999995e-05,0
0,23,7.788567066192627,5.9999999999999995e-05,0
0,24,7.706615447998047,5.9999999999999995e-05,0
0,24,7.64189338684082,5.9999999999999995e-05,1
0,25,7.680786609649658,5.9999999999999995e-05,0
0,26,7.5924224853515625,5.9999999999999995e-05,0
0,27,7.537978649139404,5.9999999999999995e-05,0
0,28,7.476134300231934,5.9999999999999995e-05,0
0,29,7.696618556976318,5.9999999999999995e-05,0
0,30,7.594523906707764,5.9999999999999995e-05,0
0,31,7.455722808837891,5.9999999999999995e-05,0
0,32,7.4299421310424805,5.9999999999999995e-05,0
0,32,7.34896183013916,5.9999999999999995e-05,1
0,33,7.385578155517578,5.9999999999999995e-05,0
0,34,7.3485283851623535,5.9999999999999995e-05,0
0,35,7.303944110870361,5.9999999999999995e-05,0
0,36,7.269821643829346,5.9999999999999995e-05,0
0,37,7.274716377258301,5.9999999999999995e-05,0
0,38,7.189391136169434,5.9999999999999995e-05,0
0,39,7.221189022064209,5.9999999999999995e-05,0
0,40,7.1816020011901855,5.9999999999999995e-05,0
0,40,7.152421951293945,5.9999999999999995e-05,1
0,41,7.189291954040527,5.9999999999999995e-05,0
0,42,7.1569504737854,5.9999999999999995e-05,0
0,43,7.155496120452881,5.9999999999999995e-05,0
0,44,7.118763446807861,5.9999999999999995e-05,0
0,45,7.081271171569824,5.9999999999999995e-05,0
0,46,7.090448379516602,5.9999999999999995e-05,0
0,47,7.24648380279541,5.9999999999999995e-05,0
0,48,7.156447410583496,5.9999999999999995e-05,0
0,48,7.0412139892578125,5.9999999999999995e-05,1
0,49,7.112032413482666,5.9999999999999995e-05,0
0,50,7.213170051574707,5.9999999999999995e-05,0
0,51,7.019474983215332,5.9999999999999995e-05,0
0,52,6.994539737701416,5.9999999999999995e-05,0
0,53,6.983839988708496,5.9999999999999995e-05,0
0,54,7.041378498077393,5.9999999999999995e-05,0
0,55,6.921640872955322,5.9999999999999995e-05,0
